,color,word counts,level 1,level 2,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster Katz centrality,cluster page rank
Gil Kalai,20,135.0,1.0,0.0,['comment-45220'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 3)}",1.0,"[datetime.datetime(2014, 1, 9, 18, 31)]",2014-01-09 18:31:00,2014-01-09 18:31:00,171.42857142857142,0.0,0.0,0.0,0.05,0.15249900325285104,0.0,0.0,0.2123499242646146,0.016123942518153956,0.05,0.0,0.05,0.19347485338553388,0.0,0.2520833333333333,0.21369935497790435,0.03669853654502832
Jason Dyer,10,1887.0,4.0,11.0,"['comment-43655', 'comment-43680', 'comment-43682', 'comment-43684', 'comment-43720', 'comment-43726', 'comment-43737', 'comment-43746', 'comment-43747', 'comment-43768', 'comment-43769', 'comment-43776', 'comment-53616', 'comment-53621', 'comment-53842']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 26), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 13), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 28), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 11), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 29), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 16), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 7)}",15.0,"[datetime.datetime(2013, 10, 28, 20, 14), datetime.datetime(2013, 10, 30, 18, 44), datetime.datetime(2013, 10, 30, 18, 50), datetime.datetime(2013, 10, 30, 19, 42), datetime.datetime(2013, 11, 4, 4, 1), datetime.datetime(2013, 11, 4, 12, 42), datetime.datetime(2013, 11, 5, 0, 12), datetime.datetime(2013, 11, 5, 14, 19), datetime.datetime(2013, 11, 5, 14, 27), datetime.datetime(2013, 11, 7, 15, 4), datetime.datetime(2013, 11, 7, 15, 12), datetime.datetime(2013, 11, 7, 17, 31), datetime.datetime(2014, 2, 27, 19, 12), datetime.datetime(2014, 2, 27, 19, 30), datetime.datetime(2014, 2, 28, 15, 16)]",2013-10-28 20:14:00,2014-02-28 15:16:00,188.57142857142856,11.0,11.0,5.0,0.35000000000000003,0.3049980065057021,0.031578947368421054,0.3428571428571428,0.25689390311747995,0.03619848329961062,0.15000000000000002,0.2,0.1,0.21347822502821615,0.05263157894736842,0.275,0.2337595289706697,0.07240515291230065
Kristal Cantwell,7,102.0,1.0,0.0,['comment-43678'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 14)}",1.0,"[datetime.datetime(2013, 10, 30, 17, 15)]",2013-10-30 17:15:00,2013-10-30 17:15:00,205.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
Richard Elwes,4,30.0,1.0,0.0,['comment-43615'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 13)}",1.0,"[datetime.datetime(2013, 10, 25, 15, 30)]",2013-10-25 15:30:00,2013-10-25 15:30:00,222.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
Timothy Gowers,12,5874.0,5.0,35.0,"['comment-43616', 'comment-43656', 'comment-43668', 'comment-43709', 'comment-43711', 'comment-43713', 'comment-43714', 'comment-43719', 'comment-43722', 'comment-43725', 'comment-43729', 'comment-43732', 'comment-43743', 'comment-43744', 'comment-43749', 'comment-43750', 'comment-43751', 'comment-43767', 'comment-43775', 'comment-43778', 'comment-43796', 'comment-43805', 'comment-43806', 'comment-43807', 'comment-43814', 'comment-43817', 'comment-43828', 'comment-43829', 'comment-43847', 'comment-43849', 'comment-44159', 'comment-44232', 'comment-45223', 'comment-45226', 'comment-45227', 'comment-45228', 'comment-45230', 'comment-45232', 'comment-45256', 'comment-45293']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 15), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 27), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 21), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 7), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 12), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 10), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 23), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 6), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 16), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 17), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 12), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 21), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 8), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 9), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 6), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 4)}",40.0,"[datetime.datetime(2013, 10, 25, 16, 6), datetime.datetime(2013, 10, 28, 20, 32), datetime.datetime(2013, 10, 29, 18, 28), datetime.datetime(2013, 11, 2, 11, 33), datetime.datetime(2013, 11, 3, 12, 1), datetime.datetime(2013, 11, 3, 17, 55), datetime.datetime(2013, 11, 3, 19, 27), datetime.datetime(2013, 11, 3, 23, 40), datetime.datetime(2013, 11, 4, 9, 19), datetime.datetime(2013, 11, 4, 11, 12), datetime.datetime(2013, 11, 4, 15, 32), datetime.datetime(2013, 11, 4, 17, 17), datetime.datetime(2013, 11, 5, 9, 18), datetime.datetime(2013, 11, 5, 9, 37), datetime.datetime(2013, 11, 5, 18, 20), datetime.datetime(2013, 11, 5, 18, 23), datetime.datetime(2013, 11, 5, 22, 39), datetime.datetime(2013, 11, 7, 10, 49), datetime.datetime(2013, 11, 7, 16, 54), datetime.datetime(2013, 11, 7, 21, 25), datetime.datetime(2013, 11, 9, 15, 3), datetime.datetime(2013, 11, 9, 22, 37), datetime.datetime(2013, 11, 9, 22, 47), datetime.datetime(2013, 11, 9, 22, 55), datetime.datetime(2013, 11, 10, 9, 13), datetime.datetime(2013, 11, 10, 14, 15), datetime.datetime(2013, 11, 11, 21, 8), datetime.datetime(2013, 11, 11, 22, 0), datetime.datetime(2013, 11, 14, 10, 21), datetime.datetime(2013, 11, 14, 12, 38), datetime.datetime(2013, 11, 27, 9, 20), datetime.datetime(2013, 11, 29, 8, 12), datetime.datetime(2014, 1, 9, 22, 13), datetime.datetime(2014, 1, 10, 10, 58), datetime.datetime(2014, 1, 10, 12, 0), datetime.datetime(2014, 1, 10, 12, 23), datetime.datetime(2014, 1, 10, 14, 44), datetime.datetime(2014, 1, 10, 18, 0), datetime.datetime(2014, 1, 11, 21, 18), datetime.datetime(2014, 1, 12, 16, 44)]",2013-10-25 16:06:00,2014-01-12 16:44:00,240.0,35.0,35.0,29.0,0.75,0.3049980065057021,0.04736842105263158,0.6,0.2380393025094182,0.023816484013775546,0.1,0.65,0.4,0.6320518324414376,0.25526315789473686,0.43214285714285716,0.36473549773976194,0.23965342650759186
Victor Porton,19,238.0,2.0,3.0,"['comment-43795', 'comment-43797', 'comment-43799', 'comment-43800', 'comment-43804']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 1)}",5.0,"[datetime.datetime(2013, 11, 9, 14, 55), datetime.datetime(2013, 11, 9, 15, 14), datetime.datetime(2013, 11, 9, 15, 57), datetime.datetime(2013, 11, 9, 16, 22), datetime.datetime(2013, 11, 9, 22, 18)]",2013-11-09 14:55:00,2013-11-09 22:18:00,257.1428571428571,3.0,3.0,0.0,0.15000000000000002,0.30499614494560384,0.0,0.0,0.2359443469072498,0.1074848602889435,0.1,0.05,0.1,0.3109784364344525,0.0,0.2630434782608696,0.23986658682512127,0.06203725210159789
bmk,16,119.0,1.0,0.0,['comment-44084'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 14)}",1.0,"[datetime.datetime(2013, 11, 25, 19, 13)]",2013-11-25 19:13:00,2013-11-25 19:13:00,274.2857142857143,0.0,0.0,0.0,0.05,0.15249900325285104,0.0,0.0,0.2123499242646146,0.016123942518153956,0.05,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
meditationatae,1,128.0,2.0,0.0,"['comment-43602', 'comment-43621']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 15), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 3)}",2.0,"[datetime.datetime(2013, 10, 24, 19, 36), datetime.datetime(2013, 10, 25, 20, 41)]",2013-10-24 19:36:00,2013-10-25 20:41:00,291.42857142857144,0.0,0.0,0.0,0.05,0.15249900325285104,0.0,0.0,0.2123499242646146,0.016123942518153956,0.05,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
mkatkov,3,171.0,1.0,0.0,['comment-43675'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 11)}",1.0,"[datetime.datetime(2013, 10, 30, 10, 44)]",2013-10-30 10:44:00,2013-10-30 10:44:00,308.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
porton,5,612.0,4.0,3.0,"['comment-43665', 'comment-43666', 'comment-43667', 'comment-43669', 'comment-43734', 'comment-43736', 'comment-43844']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 20), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 22), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 8), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 9), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 7), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 24)}",7.0,"[datetime.datetime(2013, 10, 29, 18, 5), datetime.datetime(2013, 10, 29, 18, 8), datetime.datetime(2013, 10, 29, 18, 11), datetime.datetime(2013, 10, 29, 18, 38), datetime.datetime(2013, 11, 4, 23, 28), datetime.datetime(2013, 11, 4, 23, 49), datetime.datetime(2013, 11, 13, 22, 5)]",2013-10-29 18:05:00,2013-11-13 22:05:00,325.7142857142857,3.0,3.0,0.0,0.2,0.3049980065057021,0.0,0.0,0.25689390311747995,0.1900228404461144,0.15000000000000002,0.05,0.1,0.11693226175731385,0.0,0.20862068965517241,0.22567699516479275,0.06474009418036797
vznvzn,8,1537.0,4.0,2.0,"['comment-43802', 'comment-43803', 'comment-43808', 'comment-43809', 'comment-43818', 'comment-45245']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2014/01/09/dbd2-success-of-a-kind/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 8), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 19)}",6.0,"[datetime.datetime(2013, 11, 9, 20, 57), datetime.datetime(2013, 11, 9, 21, 4), datetime.datetime(2013, 11, 9, 23, 26), datetime.datetime(2013, 11, 9, 23, 35), datetime.datetime(2013, 11, 10, 17, 32), datetime.datetime(2014, 1, 11, 16, 53)]",2013-11-09 20:57:00,2014-01-11 16:53:00,342.85714285714283,2.0,2.0,0.0,0.15000000000000002,0.30499614494560384,0.0,0.0,0.2359443469072498,0.1074848602889435,0.1,0.05,0.15000000000000002,0.3838620182956763,0.002631578947368421,0.275,0.2616726222675867,0.0894309749631996
